port_unlocode,move_type,ship_mmsi,ship_imo,date_utc,move_typ,terminal_id,berth_id
NA,DEPARTURE,273216880,9575929,2022-03-07T07:22:00Z,departure,NA,NA
RUPRI,DEPARTURE,229882000,9314820,2022-03-07T01:22:00Z,departure,NA,NA
RUULU,DEPARTURE,247391300,9314844,2022-03-07T00:50:00Z,departure,NA,NA
RUPRI,DEPARTURE,240175000,9276573,2022-03-06T23:33:00Z,departure,NA,NA
RUNVS,DEPARTURE,371458000,9370836,2022-03-06T22:36:00Z,departure,NA,NA
RUPRI,DEPARTURE,212182000,9299862,2022-03-06T21:50:00Z,departure,NA,NA
RUVYS,DEPARTURE,538007533,9327360,2022-03-06T19:19:00Z,departure,NA,NA
RULED,DEPARTURE,256791000,9435313,2022-03-06T17:37:00Z,departure,NA,NA
RUNVS,DEPARTURE,256337000,9248801,2022-03-06T17:29:00Z,departure,NA,NA
RUNVS,DEPARTURE,232012788,9817614,2022-03-06T17:05:00Z,departure,NA,NA
RUNVS,DEPARTURE,538009792,9334789,2022-03-06T16:14:00Z,departure,NA,NA
RUVVO,DEPARTURE,636012897,9322968,2022-03-06T15:35:00Z,departure,NA,NA
RUBLT,DEPARTURE,405000238,9793868,2022-03-06T14:40:00Z,departure,NA,NA
RUVVO,DEPARTURE,636012897,9322968,2022-03-06T14:36:00Z,departure,NA,NA
RUSTY,DEPARTURE,405000238,9793868,2022-03-06T13:11:00Z,departure,NA,NA
RUVYP,DEPARTURE,636093038,9350862,2022-03-06T10:07:00Z,departure,NA,NA
RUULU,DEPARTURE,249583000,9308857,2022-03-06T09:08:00Z,departure,NA,NA
RULED,DEPARTURE,538005404,9691735,2022-03-06T09:00:00Z,departure,NA,NA
RUSKA,DEPARTURE,273357270,9035826,2022-03-06T01:36:00Z,departure,NA,NA
RUNVS,DEPARTURE,538009249,9891672,2022-03-06T01:06:00Z,departure,NA,NA
RUNVS,DEPARTURE,538004508,9446427,2022-03-05T23:59:00Z,departure,NA,NA
RUSKA,DEPARTURE,273350980,9038969,2022-03-05T23:10:00Z,departure,NA,NA
RUULU,DEPARTURE,220634000,9392470,2022-03-05T19:36:00Z,departure,NA,NA
NA,DEPARTURE,273391160,9759939,2022-03-05T19:13:00Z,departure,NA,NA
RUPRI,DEPARTURE,538006621,9726580,2022-03-05T18:21:00Z,departure,NA,NA
RUNVS,DEPARTURE,258682000,9321689,2022-03-05T13:05:00Z,departure,NA,NA
RUPRI,DEPARTURE,566579000,9725639,2022-03-05T12:38:00Z,departure,NA,NA
RUNVS,DEPARTURE,241733000,9903918,2022-03-05T11:15:00Z,departure,NA,NA
NA,DEPARTURE,273436640,9171175,2022-03-05T09:54:00Z,departure,NA,NA
RUULU,DEPARTURE,247422700,9474450,2022-03-05T09:42:00Z,departure,NA,NA
RUVYS,DEPARTURE,636019054,9843560,2022-03-05T09:38:00Z,departure,NA,NA
RUNVS,DEPARTURE,636012896,9322956,2022-03-05T03:50:00Z,departure,NA,NA
RUPRI,DEPARTURE,538005402,9688386,2022-03-05T00:25:00Z,departure,NA,NA
RUNVS,DEPARTURE,538006029,9692478,2022-03-04T23:57:00Z,departure,NA,NA
RUPRI,DEPARTURE,636020062,9288722,2022-03-04T23:21:00Z,departure,NA,NA
RUNVS,DEPARTURE,232026709,9252307,2022-03-04T23:06:00Z,departure,NA,NA
RUPRI,DEPARTURE,636014191,9413559,2022-03-04T22:05:00Z,departure,NA,NA
RUULU,DEPARTURE,566598000,9729283,2022-03-04T17:33:00Z,departure,NA,NA
RUNVS,DEPARTURE,241199000,9607435,2022-03-04T14:22:00Z,departure,NA,NA
RUTUA,DEPARTURE,215034000,9293997,2022-03-04T14:16:00Z,departure,NA,NA
RUULU,DEPARTURE,249856000,9776767,2022-03-04T13:03:00Z,departure,NA,NA
RUNVS,DEPARTURE,538008919,9895226,2022-03-04T11:07:00Z,departure,NA,NA
RUVVO,DEPARTURE,273453790,9166314,2022-03-04T08:07:00Z,departure,NA,NA
RUVVO,DEPARTURE,273453790,9166314,2022-03-04T06:49:00Z,departure,NA,NA
RUDKA,DEPARTURE,209595000,9301407,2022-03-04T05:54:00Z,departure,NA,NA
RUARH,DEPARTURE,273292090,9183831,2022-03-04T03:48:00Z,departure,NA,NA
RUPKC,DEPARTURE,273210470,9163764,2022-03-04T01:23:00Z,departure,NA,NA
RUNJK,DEPARTURE,215919000,9874507,2022-03-03T21:24:00Z,departure,NA,NA
RUVYS,DEPARTURE,538002579,9312913,2022-03-03T21:22:00Z,departure,NA,NA
RUVNN,DEPARTURE,273377130,8411255,2022-03-03T20:50:00Z,departure,NA,NA
RUPRI,DEPARTURE,538009840,9318034,2022-03-03T20:33:00Z,departure,NA,NA
RUTUA,DEPARTURE,538005983,9735634,2022-03-03T19:50:00Z,departure,NA,NA
