date,United States,Netherlands,Singapore Republic,South Korea,China,Belgium,India,Saudi Arabia,United Arab Emirates,Italy,United Kingdom,Russian Federation,Canada,Malaysia,Spain,Oman,Norway,Taiwan,Japan,France,Greece,Finland,Sweden,Lithuania,Latvia,Turkey,Bahamas,Portugal,Bulgaria,Romania,Estonia,Brunei,Togo,Brazil,Qatar,Kuwait,Cyprus,Thailand,Iran,Indonesia,Algeria,Georgia,Denmark,Ireland,Germany,Malta,Argentina,Tunisia,Trinidad and Tobago,Vietnam,Egypt,Australia,Iraq,Croatia,Colombia,Poland,Nigeria,Israel,Sint Eustatius,United States Virgin Islands,Guatemala,Bahrain,Philippines,New Zealand,Peru,Chile,Unknown,Curacao,Angola,Mexico,Jordan,Venezuela,Panama,South Africa,Pakistan,Uruguay,Dominican Republic,Ecuador,Senegal,Djibouti,Equatorial Guinea,Hong Kong,Libya,Democratic Republic of the Congo,Iceland,Kenya,Somalia,Mozambique,Papua New Guinea,Ghana,Gambia,Moldova,Liberia,Azerbaijan,Guernsey,Tanzania
2022-06,2569.84434,1817.653899,1674.076377,925.171944,963.562896,1022.832279,909.334848,736.987455,1042.517205,651.92481,684.890397,280.510572,356.1689721,253.776813,466.990269,468.106215,241.581978,371.097225,82.554402,216.665961,199.743792,119.997327,145.014246,50.469072,109.956072,276.118323,36.747153,204.057729,117.617847,24.750357,128.768271,82.848825,84.521991,42.456399,71.355786,27.745038,0,49.860648,0,6.57369,0,0,8.819889,16.041912,10.317606,0,8.969736,0,7.840989,0,0,6.403512,6.905763,36.268998,2.830527,0,0,0,0,0,0,0,0,0,0,0,0,4.277793,6.284538,0,0,0,17.259513,41.352501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07,2271.684732,1936.285284,1404.91728,1320.691143,913.096836,1090.384662,748.445103,857.555556,804.307914,635.760159,586.160802,280.162686,365.125182,455.159886,374.226693,374.015853,343.101438,325.005342,76.777386,252.569001,200.858985,202.114236,126.70731,170.255559,102.810102,274.492596,94.158132,151.976484,133.728282,85.028007,133.942887,42.427785,0,119.171286,21.035808,41.602497,49.965315,27.984492,0.47439,21.883686,0,11.755836,36.178638,5.91858,36.357852,0,35.979093,0,13.941042,0,0,47.030874,10.642149,0,41.329911,0,0,3.393018,0,0,0,0,0,0,0,4.477338,0,5.168592,0,0,0,13.169217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.071455,0,0,0,0,0
2022-08,2718.594503,1831.03245,1104.044835,1364.934314,754.548921,752.192784,866.541858,844.342665,1075.250115,586.574952,621.493068,174.44751,396.9048972,549.59211,327.921711,183.210171,260.904711,219.675702,96.867426,274.88265,158.345358,171.859449,238.777806,211.789533,98.219814,158.004249,176.199741,124.052985,86.52723,55.508901,88.428555,51.058671,18.051669,80.613921,3.454011,89.250831,0,0,0,2.885496,0,9.60828,9.378615,4.360623,2.344842,0,2.091081,0,6.971274,0,0,0,0,9.432831,0,11.482497,0,0,0,0,42.441339,23.036529,4.146771,0,0,0,42.387123,0,0,8.618838,20.672862,0,0,0,0,6.5511,0,0,0,31.165164,0,0,0,0,0,0,0,0,0,0,0,3.527052,0,0,0,0
2022-09,2935.664203,1991.389824,963.449946,1124.286223,486.647334,1215.855546,544.815078,932.406015,874.846695,449.726238,490.623174,182.136393,289.3639213,412.566441,259.131396,323.359284,375.606189,124.522104,358.373031,204.163902,135.746322,121.439322,17.721855,144.718317,92.704089,122.051511,103.606776,119.973231,39.4572,54.004407,39.422562,24.155487,59.600703,0,68.245143,0,30.000273,27.985998,0,8.653476,0,39.399219,5.415576,16.820514,3.481119,0,18.80241,0,10.462935,5.709246,0,0,0,8.972748,0,6.755163,0,0,0,0,0,0,8.127882,0,0,0,0,0,0,6.484083,0,0,0,0,0,0,0,0,0,0,2.396799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664146
2022-10,2473.236978,1998.763953,1190.614233,1220.107176,1591.512939,1095.581115,389.79798,1015.728477,976.644765,603.505404,405.469416,361.777344,201.322833,337.471257,262.51839,355.7591278,314.662134,156.704571,124.173465,135.400695,134.10177,247.575858,123.73296,216.732978,311.95284,215.662212,0,107.002806,27.967926,73.46268,20.35359,39.088983,25.482273,10.636125,10.633866,9.637647,18.989907,3.634731,0,52.462263,0,8.491581,0,20.12016,0.657369,0,6.557124,2.094093,7.277745,4.482609,0,0,31.126008,19.36716,0,14.667687,0,0,0,0,0,0,15.977154,0,0,0,0,0,0,0,4.333515,0,0,0,0,0,22.542561,0,0,0,0,0,0,0,0,0,0.307977,0,0,0,0,0,0,0,0,0
2022-11,2615.615432,1026.018975,1480.937148,1100.40408,1969.79529,1042.315088,656.248536,959.41989,840.658236,549.296181,538.145757,376.656624,333.310179,304.885935,264.232218,439.249749,372.404433,123.492,247.157943,249.451581,170.666697,198.277701,239.512734,221.972352,164.491344,141.012051,220.370721,44.356218,41.399187,78.381276,31.583832,48.45555,0,3.696477,0,0,0,8.315379,0,0,0,3.655062,15.968118,8.410257,21.723297,0,20.267748,0,8.766426,1.364436,0,0,0,0,0,3.482625,7.685871,0,0,0,0,0,0,0,0,0,0,0,0,8.758896,0,0,0,0,0,0,12.25884,0,4.304148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12,2607.790803,1274.810928,1477.795632,952.257354,2336.906133,850.5595881,926.95806,900.769473,555.023499,573.981027,501.629775,704.6677914,441.5299121,395.752704,533.441766,273.040059,319.631181,55.160262,374.683011,236.835066,247.973442,242.675334,127.905333,138.548988,367.366863,103.167024,409.732902,170.809767,83.701221,118.983789,17.704536,0,4.588048578,0,0,130.410564,0,7.566144,0,10.535223,0,16.044171,14.724915,12.459891,15.419181,0,2.602368,0,11.721951,2.004486,0,0,0,3.634731,0,7.819152,0,33.480639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.120064,6.52851,0,5.265729,0,0,0,0,0,0,0,9.304068,0,0,0,0,0,1.277841,0
2023-01,2683.955383,1550.012097,1366.636266,1269.032406,790.064919,1338.641232,916.373139,508.5188297,842.460918,523.993122,634.943907,800.267316,415.0849135,290.275476,413.4234544,425.517288,351.458985,197.513406,394.215078,241.281531,282.692766,210.996624,135.646926,171.592134,60.648879,62.577312,293.0676,120.140397,146.612112,52.412565,9.408735,107.037444,55.108305,19.354359,109.288161,0,59.999793,9.320634,0,18.040374,0,0,15.191775,7.447923,0,0,0,0,13.675233,0,0,0,21.621642,0,0,6.755163,0,0,0,0,0,0,18.242178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57973,0,0,0,0,0,0,0,0,0,0
2023-02,1944.86684,1701.924576,1097.079585,962.700711,658.074561,939.238737,997.217478,646.778055,701.172516,686.029686,385.062363,655.110753,369.1025973,473.5584237,338.696388,487.43949,242.130162,142.101642,484.317552,167.315847,234.201072,185.332125,285.387753,184.433043,92.3178,33.690726,89.728233,40.540767,90.389367,35.656056,15.831825,76.163691,18.045645,0,61.732446,41.350995,0,0,16.096128,20.881443,0,0,12.264111,13.705353,23.213484,14.99976,0,0,4.859109,7.091754,7.201692,0,0,0,0,0,18.294888,0,0,0,0,0,0,8.270199,0,0,9.813096,0,0,0,0,0,8.5089,0,0,12.988497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03,2363.570209,1464.828219,1446.784833,1258.662843,557.900712,849.366681,1202.968704,1113.469383,778.783473,496.796268,641.504043,605.932323,422.396551,477.662538,382.074459,382.857579,196.304841,154.457619,421.268109,130.470804,231.282444,148.066155,178.051368,126.183975,46.686,82.375188,123.076344,128.056686,33.461814,120.333918,14.789673,78.030378,83.565681,0,41.296779,0,48.112182,0,0,11.884599,21.403272,11.755836,41.351748,8.721246,14.258055,50.129469,9.547287,0,13.71966,0,0,0,0,0,0,4.556403,0,15.839355,0,3.59181,0,0,0,0,0,0,0,42.441339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23335,0,0,1.91262,0,0,0
2023-04,2129.043443,1684.216275,1687.340472,773.614881,1161.958065,662.725842,741.171123,800.009037,592.462659,607.558803,463.492584,398.65326,412.6452176,572.713728,320.0890645,465.735771,352.105812,95.002245,211.611825,155.118753,281.521098,116.040312,123.018363,174.367692,102.563871,75.426504,216.401658,107.705355,34.695981,121.687812,9.063108,0,85.076952,10.337937,0,116.711235,0,10.950126,0,13.860471,69.144225,16.761027,4.949469,8.098515,15.163914,24.480783,20.676627,61.297965,0,0,32.412132,21.407037,0,0,0,0,0,0,0,63.50049,0,0,0,0,21.027525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34175,0,0,0,0,0,0,0,0,0,0
2023-05,1881.271127,1208.686986,1513.684365,1340.756409,1136.511936,1228.359864,897.179169,1094.838657,878.583081,662.005974,578.624778,364.189956,481.572056,566.8584,308.028957,336.888435,366.240375,313.501761,59.884584,202.581096,261.459672,145.917846,145.602339,196.049574,62.733183,131.018988,209.877666,163.149498,90.237261,75.752553,17.559207,165.48681,14.410161,32.415144,90.161961,61.357452,62.541921,16.883766,22.031274,9.746079,38.037042,0,10.831905,0,0,28.296234,0,35.5416,0,5.392986,0,0,0,0,10.160229,0,0,0,0,10.014147,0,0,8.068395,0,41.46018,0,0,0,0,0,0,0,0,0,0,0,0.542913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06,2051.651248,1171.174032,1823.717808,1043.433606,1132.984884,1019.821032,932.807364,1076.534733,880.548411,695.030295,470.832828,256.228581,409.2053193,463.60704,345.67971,292.322883,277.634112,268.912866,41.02344,276.605514,231.376569,204.98166,285.532329,153.819075,117.455199,76.742748,174.937713,137.141631,53.281527,51.100086,7.877133,124.117743,5.006697,112.590066,75.973935,29.595159,65.073507,44.628804,0,40.94814,53.999136,67.260219,4.78908,7.786773,0,40.251615,10.51188,72.005625,0,6.318423,0,0,16.130766,33.480639,13.002804,14.270103,32.590593,0,0,0,0,0,0,20.192448,0,20.289585,0,0,0,6.639954,0,0,0,0,0,0,0,0,0,0,0,23.159268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07,2790.085042,1543.726806,1606.868868,1121.144712,1174.307265,1241.950761,1007.196987,1053.739164,774.331737,438.071304,470.597892,384.691887,359.397864,176.532567,329.795175,440.825778,275.363817,225.10935,103.528464,278.174766,224.372916,209.162316,152.707647,153.64965,52.419342,19.882965,116.986833,161.612625,72.412245,16.372479,4.782303,72.431823,14.76633,97.38549,76.658412,38.500137,110.912382,41.944359,6.095535,56.217474,33.544644,3.862137,0,13.393611,2.593332,72.647934,20.550123,0,0,0,23.687874,20.251182,1.052694,0,0,14.270103,0,0,0,0,0,0,0,0,0,0,0,0,41.159733,2.536104,0,0,0,0,0,18.691719,0,0,0,0,0,0,0,0,0,0,0,11.371053,0,0,0,0,0,0,0,0
