port_unlocode,move_type,ship_mmsi,ship_imo,date_utc,load_status,port_operation,draught,terminal_id,berth_id
RUVVO,departure,538007496,9226009,2022-03-09T02:34:00Z,fully_laden,load,9.1,NA,NA
RUPRI,departure,309924000,9325908,2022-03-09T00:37:00Z,fully_laden,load,13.9,NA,NA
RUULU,departure,636018688,9826732,2022-03-08T22:50:00Z,fully_laden,load,14.2,NA,NA
RUNVS,departure,538006608,9686649,2022-03-08T21:03:00Z,fully_laden,load,13,NA,NA
RUNVS,departure,357263000,9236975,2022-03-08T19:01:00Z,partially_laden,none,8,NA,NA
NA,departure,273216480,9492842,2022-03-08T18:27:00Z,fully_laden,load,6.5,NA,NA
RUNVS,departure,636020131,9429027,2022-03-08T17:05:00Z,partially_laden,load,15.6,NA,NA
RUPRI,departure,538005398,9686871,2022-03-08T16:52:00Z,fully_laden,load,11.3,NA,NA
RUULU,departure,249549000,9297553,2022-03-08T16:46:00Z,fully_laden,load,14.3,NA,NA
RUKOZ,departure,538002845,9339985,2022-03-08T14:13:00Z,fully_laden,load,14.1,NA,NA
RUPRI,departure,240290000,9288708,2022-03-08T14:08:00Z,fully_laden,load,14.1,NA,NA
RUULU,departure,248884000,9309423,2022-03-08T12:09:00Z,fully_laden,load,14,NA,NA
RUPRI,departure,538005401,9686883,2022-03-08T11:19:00Z,fully_laden,load,11.3,NA,NA
RUDKA,departure,212500000,9301380,2022-03-08T10:22:00Z,partially_laden,none,9,NA,NA
RUTAM,departure,374125000,9260263,2022-03-08T09:55:00Z,fully_laden,load,10.2,NA,NA
RUTUA,departure,538005983,9735634,2022-03-08T09:36:00Z,fully_laden,load,12,NA,NA
RUVVO,departure,273350980,9038969,2022-03-08T07:50:00Z,partially_laden,load,6.6,NA,NA
RUNVS,departure,565975000,9263203,2022-03-08T06:18:00Z,fully_laden,load,11.5,NA,NA
RUULU,departure,538002779,9323405,2022-03-08T04:19:00Z,fully_laden,load,10,NA,NA
RUNVS,departure,636011640,9256054,2022-03-08T02:12:00Z,fully_laden,load,11.8,NA,NA
RUKOZ,departure,412471000,9845996,2022-03-08T01:00:00Z,fully_laden,load,14,NA,NA
RULED,departure,275484000,9169782,2022-03-07T23:54:00Z,fully_laden,load,8.9,NA,NA
RUTUA,departure,248299000,9315783,2022-03-07T23:01:00Z,fully_laden,load,11,NA,NA
RUNVS,departure,248900000,9379624,2022-03-07T23:00:00Z,fully_laden,load,12.5,NA,NA
RUPRI,departure,255806264,9851713,2022-03-07T22:21:00Z,fully_laden,load,10.4,NA,NA
RUULU,departure,538006769,9726592,2022-03-07T22:04:00Z,fully_laden,load,14.6,NA,NA
RUULU,departure,238265000,9401128,2022-03-07T18:57:00Z,fully_laden,load,10.6,NA,NA
RUPRI,departure,636018959,9826902,2022-03-07T16:56:00Z,fully_laden,load,14.4,NA,NA
RUKOZ,departure,538008244,9288851,2022-03-07T11:36:00Z,fully_laden,load,13.8,NA,NA
RUTAM,departure,636014194,9413573,2022-03-07T10:57:00Z,partially_laden,load,10.7,NA,NA
RUULU,departure,249855000,9777931,2022-03-07T10:07:00Z,fully_laden,load,14.7,NA,NA
RUVNN,departure,273210220,9236743,2022-03-07T09:22:00Z,fully_laden,load,11.6,NA,NA
NA,departure,273216880,9575929,2022-03-07T07:22:00Z,fully_laden,load,6.5,NA,NA
RUPRI,departure,229882000,9314820,2022-03-07T01:22:00Z,fully_laden,load,10.8,NA,NA
RUULU,departure,247391300,9314844,2022-03-07T00:50:00Z,fully_laden,load,10.3,NA,NA
RUPRI,departure,240175000,9276573,2022-03-06T23:33:00Z,fully_laden,load,14.9,NA,NA
RUNVS,departure,371458000,9370836,2022-03-06T22:36:00Z,partially_laden,load,12,NA,NA
RUPRI,departure,212182000,9299862,2022-03-06T21:50:00Z,fully_laden,load,10.3,NA,NA
RUVYS,departure,538007533,9327360,2022-03-06T19:19:00Z,fully_laden,load,10.5,NA,NA
RULED,departure,256791000,9435313,2022-03-06T17:37:00Z,fully_laden,load,7.1,NA,NA
RUNVS,departure,256337000,9248801,2022-03-06T17:29:00Z,fully_laden,load,10.2,NA,NA
RUNVS,departure,232012788,9817614,2022-03-06T17:05:00Z,fully_laden,load,15.4,NA,NA
RUNVS,departure,538009792,9334789,2022-03-06T16:14:00Z,fully_laden,load,10.9,NA,NA
RUVVO,departure,636012897,9322968,2022-03-06T15:35:00Z,partially_laden,none,9,NA,NA
RUBLT,departure,405000238,9793868,2022-03-06T14:40:00Z,partially_laden,none,9.6,NA,NA
RUVVO,departure,636012897,9322968,2022-03-06T14:36:00Z,partially_laden,load,9,NA,NA
RUSTY,departure,405000238,9793868,2022-03-06T13:11:00Z,partially_laden,none,9.6,NA,NA
RUVYP,departure,636093038,9350862,2022-03-06T10:07:00Z,fully_laden,load,10.4,NA,NA
RUULU,departure,249583000,9308857,2022-03-06T09:08:00Z,fully_laden,load,15,NA,NA
RULED,departure,538005404,9691735,2022-03-06T09:00:00Z,fully_laden,load,10.6,NA,NA
RUSKA,departure,273357270,9035826,2022-03-06T01:36:00Z,fully_laden,none,8,NA,NA
RUNVS,departure,538009249,9891672,2022-03-06T01:06:00Z,fully_laden,load,12.8,NA,NA
RUNVS,departure,538004508,9446427,2022-03-05T23:59:00Z,fully_laden,load,12.3,NA,NA
RUSKA,departure,273350980,9038969,2022-03-05T23:10:00Z,partially_laden,load,7,NA,NA
RUULU,departure,220634000,9392470,2022-03-05T19:36:00Z,fully_laden,load,11.4,NA,NA
NA,departure,273391160,9759939,2022-03-05T19:13:00Z,fully_laden,none,9.2,NA,NA
RUPRI,departure,538006621,9726580,2022-03-05T18:21:00Z,fully_laden,load,14.5,NA,NA
RUNVS,departure,258682000,9321689,2022-03-05T13:05:00Z,fully_laden,load,11.8,NA,NA
RUPRI,departure,566579000,9725639,2022-03-05T12:38:00Z,fully_laden,load,11.2,NA,NA
RUNVS,departure,241733000,9903918,2022-03-05T11:15:00Z,fully_laden,load,12.5,NA,NA
NA,departure,273436640,9171175,2022-03-05T09:54:00Z,partially_laden,none,7.4,NA,NA
RUULU,departure,247422700,9474450,2022-03-05T09:42:00Z,partially_laden,none,6.7,NA,NA
RUVYS,departure,636019054,9843560,2022-03-05T09:38:00Z,fully_laden,load,12.7,NA,NA
RUNVS,departure,636012896,9322956,2022-03-05T03:50:00Z,fully_laden,load,9.8,NA,NA
RUPRI,departure,538005402,9688386,2022-03-05T00:25:00Z,fully_laden,load,11.2,NA,NA
RUNVS,departure,538006029,9692478,2022-03-04T23:57:00Z,fully_laden,load,13,NA,NA
RUPRI,departure,636020062,9288722,2022-03-04T23:21:00Z,fully_laden,load,14.1,NA,NA
RUNVS,departure,232026709,9252307,2022-03-04T23:06:00Z,fully_laden,load,11.2,NA,NA
RUPRI,departure,636014191,9413559,2022-03-04T22:05:00Z,fully_laden,load,14.6,NA,NA
RUULU,departure,566598000,9729283,2022-03-04T17:33:00Z,fully_laden,load,10.8,NA,NA
RUNVS,departure,241199000,9607435,2022-03-04T14:22:00Z,fully_laden,load,15.4,NA,NA
RUTUA,departure,215034000,9293997,2022-03-04T14:16:00Z,fully_laden,load,9.5,NA,NA
