name,imo,country,registration_iso2
PARTANKERS XIV AS,6124276,Norway,NO
HAI KUO SHIPPING 2035T LTD,6298468,Hong Kong (China),HK
SONNET SHIPPING LTD,1535200,Malta,MT
SEAHAKE,5061779,Germany,DE
KALSOY SHIPPING LTD,5657822,Liberia,LR
PETROLEUM TRADING & SHIPPING,6315851,Marshall Islands,MH
FELICIA OWNING CO LTD,5937355,Marshall Islands,MH
OMEGA FOUR MARINE CORP,6056263,Marshall Islands,MH
FEROUSA SHIPPING CO,6311257,Liberia,LR
MAYFAIR SHIPHOLDING SA,5966033,Marshall Islands,MH
ULUSOY DENIZCILIK AS,5430837,Turkey,TR
PONENTE OWNERS INC,5942351,Marshall Islands,MH
RACER SHIPPING SA,5595376,Marshall Islands,MH
MYRA INVESTMENTS LTD,4171865,Marshall Islands,MH
SUMMERTON INVESTMENTS CORP-MAI,6205174,Marshall Islands,MH
SEMELE OWNING CO LTD,5869020,Marshall Islands,MH
DELMER MARINE CORP,5888700,Marshall Islands,MH
BIG PEONY SHIPPING LTD,6194664,Marshall Islands,MH
CAMBER SHIPPING INC,5463447,Liberia,LR
HN5046 LTD,6170187,Liberia,LR
LUMBER MARINE SA,5463420,Liberia,LR
DANIEL MARINE CORP,5499856,Marshall Islands,MH
ROURKE SERVICES LTD,5451912,Liberia,LR
PRESCOTT MARITIME LTD,5796135,Marshall Islands,MH
STAVENTO SHIPOWNERS SA,6021453,Liberia,LR
OCY POLIEGOS LTD,6056507,Malta,MT
JELIKA SHIPPING INC,5796104,Marshall Islands,MH
HONGKONG XINGWANGSHENG SHPG,6106632,Hong Kong (China),HK
MELIA MARINE CORP,6166750,Liberia,LR
FORTUNE GRIND SHIPPING LTD,6193635,Hong Kong (China),HK
OMEGA TEN MARINE CORP,4267394,Marshall Islands,MH
FRONT CHALLENGER INC,4210585,Liberia,LR
GOOD KNIGHT MI LTD,6079708,Marshall Islands,MH
ANATOLIA OWNING CO LTD,4192693,Marshall Islands,MH
AMALTHEA OWNING CO LTD,4188719,Marshall Islands,MH
OMEGA THREE MARINE CORP,6037856,Marshall Islands,MH
NS BORA SHIPPING INC,5484482,Liberia,LR
NS BREEZE SHIPPING INC,5512132,Liberia,LR
NS BURGAS SHIPPING INC,5484479,Liberia,LR
XIANG T6 HK INTERNATIONAL SHIP,5998294,Hong Kong (China),HK
KELSO ENE,5125104,Greece,GR
BABYLON SHIPPING LTD,5639619,Malta,MT
ANTHEA MARITIME LTD,6029825,Marshall Islands,MH
LUCKY SAILORS CO LTD,1832155,Malta,MT
DOLPHIN MARITIME & TRADING-MAI,6248157,Marshall Islands,MH
JASMINE MARITIME CO LTD-MTA,5971833,Malta,MT
PABUR GMBH & CO KG,5679693,Germany,DE
BULK NORDIC ODYSSEY MI CORP,6196365,Marshall Islands,MH
ANTHOS MARITIME LTD,5849645,Marshall Islands,MH
VIRAAT SHIPPING & MARINE CO,6260959,British Virgin Islands,VG
APSIDA INVESTMENT CO,6140201,Marshall Islands,MH
ARVE SHIPPING INC,6300694,Liberia,LR
ARISTOS MARINE INC,6218688,Liberia,LR
AVANTGARDE SHIP NAVIGATION,6138332,Liberia,LR
BRILLIANT 3 INTERNATIONAL SA,5915617,Panama,PA
VIKTOR TSOI SHIPPING LTD,6249889,Liberia,LR
GOLDEN BRILLIANT INC,5716664,Liberia,LR
HAOXING INTERNATIONAL SHIP,6022448,Hong Kong (China),HK
KAI SHUN MARINE PTE LTD,6091930,Singapore,SG
XIANG T94 HK INTERNATIONAL,6086086,Hong Kong (China),HK
XIANG T93 HK INTERNATIONAL,6086072,Hong Kong (China),HK
CASTELLINA MARITIME LTD,6031671,Liberia,LR
CARAVEL LINE SA,6213188,Panama,PA
HASHIHAMA SHIPPING PTE LTD,6033779,Marshall Islands,MH
TOPKAPI SHIPPING INC,5671494,Marshall Islands,MH
HR SAPPHIRE SA,5764903,Panama,PA
BLUE CLOUD NAVIGATION SA,5458804,Liberia,LR
SAVOY TRADING CO,5712012,Marshall Islands,MH
CORAL FAVIA SHIPPING BV,6088238,Netherlands,NL
ANCHORSTAR SHIPPING CO LTD,6264418,Cyprus,CY
KUNOY SHIPPING,5657836,Liberia,LR
GREAT RICH TRANSPORTATION LTD,6052623,Hong Kong (China),HK
EUDA SHIPPING,1419046,Malta,MT
FAIRMAR SHIPPING LTD,5953488,Malta,MT
NORDBAY SHIPPING MANAGEMENT BV,5803124,Netherlands,NL
SEAVALUE SHIPPING SA,5382654,Liberia,LR
EVINOS SHIPPING CORP,4274056,Marshall Islands,MH
TOKA SHIPPING CO INC,6145161,Marshall Islands,MH
ALATAU SHIPPING LTD,5640011,Marshall Islands,MH
SEAHAWK MANAGEMENT SA,5435051,Marshall Islands,MH
ICE PEARL NAVIGATION CORP,4118745,Marshall Islands,MH
HELLENIC ANGEL SHIPPING,4114169,Liberia,LR
NS LION SHIPPING INC,4124284,Liberia,LR
ICE PLANT NAVIGATION LTD,6253736,Liberia,LR
PLOKTI MARINE LTD,5992026,Liberia,LR
ELANDRA SOUND SHIPPING LTD,6097797,Bermuda,BM
KRYMSK SHIPPING INC,5057207,Liberia,LR
EXPRESS WAY SHIPPING LTD,5952754,Malta,MT
SPARTIA TRANSPORTATION CORP,6278902,Marshall Islands,MH
NOLITA MARITIME LLC,6296886,Marshall Islands,MH
LEVANTER MARITIME LTD,4162938,Liberia,LR
CHAO XING SHIPPING INC,6243709,Panama,PA
GLORY RIVERSIDE NAVIGATION LTD,6172855,Malta,MT
BEAUTY MARITIME INC,5422752,Marshall Islands,MH
NERINE SHIPPING CO,6207136,Liberia,LR
ADELASIA OWNERS INC,5993055,Marshall Islands,MH
KITRIES SHIPPING CORP,6229722,Marshall Islands,MH
SFL TIGER INC,6271091,Marshall Islands,MH
MATTERHORN SPIRIT LLC,5216088,Bahamas,BS
OCEAN KING INC-PAN,6313341,Panama,PA
DYNAMIC TANKERS PTE LTD,5910501,Panama,PA
ORAMA SHIPMANAGEMENT CO,5997614,Marshall Islands,MH
FRANKOPAN SHIPPING LLC,5939661,Marshall Islands,MH
XIANG H18 INTERNATIONAL SHIP,6238460,Hong Kong (China),HK
IRIS MARINE INC,6206521,Liberia,LR
BLUNDELL MARITIME SA,4169246,Liberia,LR
CHANTAL SHIPPING CORP,4209110,Marshall Islands,MH
POLAR 7 LTD,6237461,Bermuda,BM
NS DALIAN SHIPPING CO LTD,6180391,Marshall Islands,MH
VEGA SHIPPING LTD-MAI,5940734,Marshall Islands,MH
KYRAKATINGO LTD,5984781,Liberia,LR
ARISTODIMOS CRUDE CARRIER SA,6071971,Liberia,LR
REGINA OWNERS INC,5972006,Marshall Islands,MH
NIMUS CRUDE CARRIERS SA,6316381,Marshall Islands,MH
LOTUS CRUDE CARRIERS SA,6316403,Marshall Islands,MH
ETESIAN SHIPTRADE SA,5970781,Marshall Islands,MH
TANK PASHA INC,4146473,Marshall Islands,MH
DAUCINA NAVIGATION SA,5970747,Marshall Islands,MH
AEGEANZHOU ALPHA INC,4228542,Liberia,LR
GHIBLI SHIPPING BV,5899103,Netherlands,NL
CIERZO MARINE LTD,5970720,Marshall Islands,MH
BLUE LIGHT DEVELOPMENT CORP,5464652,Liberia,LR
LEVANTE OWNERS INC,4214279,Marshall Islands,MH
