name,imo,country,registration_iso2
OJV CAYMAN 1 LTD,6051761,Cayman Islands,KY
ADELE OWNING CO LTD,5885241,Marshall Islands,MH
SKS SHIPOWNING 1 LTD,6269008,Bermuda,BM
SKS SHIPOWNING 3 LTD,6269025,Bermuda,BM
LIVOBISSI SHIPPING,5041453,Liberia,LR
HONG YU TIANJIN SHIP LEASING,6004398,China,CN
ELANDRA BAY SHIPPING LTD,6097783,Bermuda,BM
RAINBOW SEA SA,4284242,Marshall Islands,MH
KELBIV SHIPPING INC,5766723,Liberia,LR
NIXTEM SHIPPING INC,5802161,Liberia,LR
HN5040 LTD,6143151,Liberia,LR
PROSALT NAVIGATION SA,6085882,Marshall Islands,MH
GOLD BUTTERFLY MARITIME LTD,6197947,Malta,MT
ENDEAVOR TANKERS PTE LTD,5916195,Singapore,SG
MEDLEY INVESTMENT CO,6041371,Liberia,LR
BULK NORDIC OLYMPIC MI CORP,6203080,Marshall Islands,MH
BULK NORDIC OSHIMA MI CORP,6203093,Marshall Islands,MH
TOSTOLI SHIPPING INC,6074548,Liberia,LR
XIANG T120 HK INTERNATIONAL,6150697,China,CN
RIVIERA MARINE LTD,6263746,Malta,MT
UTVIKEN AS,6070991,Norway,NO
DAT PACIFIC1 MARITIME SA,5947192,Panama,PA
ROSTRUM SHIPPING SA,5553184,Panama,PA
FAIR WEATHER SHIPPING LTD,1902805,Malta,MT
XIANG T96 HK INTERNATIONAL,6086109,China,CN
LAKE STURGEON SOLUTIONS INC,5951331,Marshall Islands,MH
ORTOLAN COCO,6270164,Germany,DE
LADIES SHIPPING LTD,5643616,Malta,MT
KALI MARINE LTD,6053533,Marshall Islands,MH
BALTIC MARINER SHIPPING CO LTD,5802470,Malta,MT
FIRST CLEAN AIR LR2 PTE LTD,5983694,Singapore,SG
PACIFICOS SHIPPING LTD,6128384,Marshall Islands,MH
VEGA MARITIME INC-MAI,6270615,Marshall Islands,MH
TMW SHIPPING CV,5848001,Netherlands,NL
VASSHOLMEN SHIPPING LTD,6073672,Malta,MT
MAREA MARITIME SA,6293382,Marshall Islands,MH
SUN LANES SHIPPING SA,977697,Panama,PA
TEEKAY TANKERS TS HULL S-1415,5842431,Marshall Islands,MH
SERENADE MARINE CORP,5891519,Liberia,LR
NORDSYMPHONY SHIPPING MGMT BV,6082208,Netherlands,NL
FAIRSEA ENTERPRISES SA,4119828,Panama,PA
STENDE NAVIGATION INC,5299769,Marshall Islands,MH
VARI SHIPPING LTD,5761197,Malta,MT
SALDUS NAVIGATION INC,4144070,Marshall Islands,MH
SAPPHIRE SHIPHOLDING SA,6071561,Panama,PA
DEEPBLUE SHIPPING CORP,5594188,Liberia,LR
ALEXANDRA MARITIME SA,5350509,Liberia,LR
BLUE WAVES MARINE SA,5704919,Liberia,LR
SBK DOLINA LLC,6218759,Russia,RU
SHANDONG ZIHE TANKER CO LTD,5920303,Hong Kong,HK
ELARON SHIPPING,1763952,Malta,MT
SKYLER SA,5934731,Liberia,LR
SPDBFL NO ONE ONE THREE,6190511,China,CN
XENOFON SHIPPING CO LTD,5979238,Marshall Islands,MH
AKBASOGLU FOREIGN TRADE & SHIP,1486426,Turkey,TR
MARE ARTEMIS SHIPPING LTD,6162519,Malta,MT
B MONARCH SHIPPING CO LTD,5349038,Cyprus,CY
BSL DONALD SHIPPING LTD,6079359,Isle of Man,IM
KMARIN NO 17G SA,5898621,Marshall Islands,MH
AREZZO OWNING CO LTD,5895202,Marshall Islands,MH
NAVIGATOR LIBRA LLC,4178448,Marshall Islands,MH
NICOMEDIA NAVIGATION LTD,4141371,Marshall Islands,MH
SEA 71 LEASING CO LTD,6051161,Hong Kong,HK
OLAMAR NAVEGACION SA,666552,Panama,PA
ASIAN STAR MARINE LTD,6223961,Hong Kong,HK
CASTELLINA TANKERS CO SA,5995184,Liberia,LR
DUNSLEY NAVIGATION SA,5859139,Liberia,LR
THALASSA MARINE INC,5513436,Marshall Islands,MH
TOURLITIS NAVIGATION LTD,5646933,Marshall Islands,MH
TYDEP MARITIME SA,5792852,Liberia,LR
YASA FALCON SHIPPING LTD,5639239,Marshall Islands,MH
CL FENGHUA LTD,6158370,Hong Kong,HK
NAVIGATOR SHIPPING SA,6006231,Marshall Islands,MH
CIRCLE HARMONY SHIPPING CO LTD,6272863,Hong Kong,HK
HAI KUO SHIPPING 2122B LTD,6245679,Hong Kong,HK
SAKIZAYA INTEGRITY SA,4228692,Panama,PA
DAYNA MARINE SA,6153453,Liberia,LR
SIRENE OCEANWAY SA,6157031,Liberia,LR
BLUE ATLANTIC CO,6046752,Liberia,LR
STILAN MARITIME INC,4127451,Marshall Islands,MH
SEAWAY BEST NAVIGATION SA,4130036,Liberia,LR
SW JULIA SHIPPING LLC,5882087,Marshall Islands,MH
LUCKY SUNDAY MARITIME LTD,6140280,Marshall Islands,MH
WATERMARK MARITIME INC,4110811,Liberia,LR
SEETIP MARITIME LTD,5746717,Liberia,LR
DIONE MARINE INC,6165116,Liberia,LR
GEA MARITIME SA,5167344,Liberia,LR
KAYSTROS SHIPPING LTD,6016373,Liberia,LR
SK OCEAN MARITIME PTE LTD,6173819,Singapore,SG
HYDROUSSA MARITIME LTD,4145206,Marshall Islands,MH
TRIO HAPPINESS SA,1153256,Panama,PA
DOXA ENE,5369818,Greece,GR
LANEL NAVIGATION CORP,4125129,Liberia,LR
IMOLA NAVIGATION SA,6190984,Liberia,LR
TIANLONG SPIRIT LLC,5431821,Marshall Islands,MH
MAESTRO MARINE CO,5983871,Marshall Islands,MH
HELLENIC PRIDE INC,5804771,Liberia,LR
NEW HORIZON MARINE CO,5885206,Liberia,LR
ASTERIA MARITIME SA,5983646,Marshall Islands,MH
DSS 8 LLC,5877807,Marshall Islands,MH
ATLANTA SPIRIT LLC,5879471,Marshall Islands,MH
GULFVIEW SHIPPING CO SA,5891880,Panama,PA
LAVENDER MARINE LTD,6011050,Marshall Islands,MH
RIDGEBURY ALPHA LLC,5758211,Marshall Islands,MH
BELMONDO SHIPPING INC,5452368,Marshall Islands,MH
MARAN POSEIDON ENE,6105909,Greece,GR
NIRVANA NAVIGATION LTD,5452385,Marshall Islands,MH
PARURE MARINE CO,6010710,Marshall Islands,MH
GATSON SHIPPING LTD,5463416,Liberia,LR
SMILTENE NAVIGATION INC,4125305,Marshall Islands,MH
NORTHERN KING SHIPPING,902780,Liberia,LR
RIKAPE MARITIME LTD,5909879,Liberia,LR
AET SINGAPORE ONE PTE LTD,5998440,Singapore,SG
DANAIS MARITIME CORP,4073337,Liberia,LR
DELTA HARMONY ENE,5483688,Greece,GR
DELTA POSEIDON ENE,5602541,Greece,GR
GREAT OCEANO LTD,6290391,Marshall Islands,MH
MIF II NO 7 K/S,6187248,Denmark,DK
DELTA MARIA ENE,5853191,Greece,GR
NS BRAVO SHIPPING INC,5512129,Liberia,LR
ORIENTAL FLEET TANKER 29 LTD,6275094,Hong Kong,HK
BAHAMAS LNG SHIPPING LTD,4175372,Bahamas,BS
SOLID MARITIME SA,5916120,Marshall Islands,MH
SOCIETY MARITIME CO,5767338,Marshall Islands,MH
ORIENTAL FLEET TANKER 09 LTD,6061564,Marshall Islands,MH
WATANABE PRINT/WPSD,5593471,Japan,JP
NORDIC TATIANA SCHIFFFAHRTS,6207771,Germany,DE
PB NORGE AS,5516016,Norway,NO
SCOPS NAVIGATION SA,5934700,Liberia,LR
SHINTOKU PANAMA SA,1995431,Panama,PA
MALINDI NAVIGATION LTD,5601296,Marshall Islands,MH
PANDEIRO MARINE LTD,5601305,Marshall Islands,MH
SEDNA MARITIME SA,6190879,Panama,PA
WOTHO SHIPPING CO INC,5737784,Marshall Islands,MH
NORVIKEN AS,6070987,Norway,NO
DOVE SEACARRIERS LTD,5781699,Liberia,LR
KSF 33 INTERNATIONAL SA,5872081,Panama,PA
JACOB TANK VIERTE BETEILIGUNGS,5598631,Germany,DE
BAILUZUO SHIPPING SA,5637895,Panama,PA
VISION SHIPPING CO-MAI,6227350,Marshall Islands,MH
ADAMAS TRADING SA,4147701,Liberia,LR
HAI KUO SHIPPING 1971T LTD,6148991,Hong Kong,HK
XIANG T99 HK INTERNATIONAL,6086130,Hong Kong,HK
GULF PEARL SHIPPING LTD,5160011,Bahamas,BS
IVY MARITIME LLC,6119081,Marshall Islands,MH
VIOLET SHIPPING LLC,6119094,Marshall Islands,MH
BW CLEARWATER PTE LTD,5825154,Singapore,SG
OCEAN DELICACY SHIPPING LTD,5918713,Hong Kong,HK
SUNNY LION SHIPPING LLC,6248126,Marshall Islands,MH
HAI KUO SHIPPING 2214T PTE LTD,6299276,Singapore,SG
SUMMERSEA SHIPPING SA,5914018,Liberia,LR
LRK-3 FINANCE INC,5906741,Marshall Islands,MH
KHAIRPUR SHIPPING PVT LTD,6083603,Pakistan,PK
XIANG T104 HK INTERNATIONAL,6121078,Hong Kong,HK
BANI YAS SHIPPING CO INC,5571591,Liberia,LR
AVERTO MARINE CORP,5872899,Liberia,LR
GOLDEN AMBER INC,5985038,Liberia,LR
GREAT RHODES LTD,6163707,Marshall Islands,MH
PRIVET SHIPPING LLC,6119077,Marshall Islands,MH
POLLOCK LTD,6079362,Isle of Man,IM
MAP HPT I LLC,6064701,Marshall Islands,MH
XIANG T36 HK INTERNATIONAL,6002096,Hong Kong,HK
XIANG H22 INTERNATIONAL SHIP,6238853,Hong Kong,HK
BALTIC FAVOUR LLC,6127341,Marshall Islands,MH
AGT EMPRESSA MARITIMA INC,6304811,Marshall Islands,MH
NORDIC JOSEPHINE SCHIFFFAHRTS,6226281,Germany,DE
LEZANTIO SHIPPING CO LTD,6099590,Cyprus,CY
TOKYO LNG TANKER/TOHO LNG,5156645,Japan,JP
TOKYO LNG TANKER/MITSUI OSK,4129489,Japan,JP
PST ENERGY 4 SHIPPING LLC,5751801,Marshall Islands,MH
UACC ROSS TANKER II AS,6015185,Norway,NO
RIDGEBURY VICTOR LLC,5789076,,#N/A
SAUGER SOLUTIONS INC,5867598,Marshall Islands,MH
PST ENERGY 6 SHIPPING LLC,5751964,Marshall Islands,MH
PORTMANN SHIPPING CO LTD,6207401,South Korea,SK
CHAMPION SHIPPING AS,1554399,Norway,NO
XIANG T90 HK INTERNATIONAL,6086041,Hong Kong,HK
HELEN TRADING SA,5923121,Liberia,LR
HIGHLANDER SEAWAYS INC,5520781,Liberia,LR
LUCRETIA SHIPPING SA,1027958,Panama,PA
CORAL FUNGIA SHIPPING BV,6088224,Netherlands,NL
OCCITAN BULKERS LTD,5659846,Bahamas,BS
LIBERO PANAMA SA,1370531,Panama,PA
ARCTIC CHAR SHIPPING LLC,6266051,Marshall Islands,MH
CL BELLE CO LTD,6061825,Hong Kong,HK
TRIGGER SHIPPING LTD,1523286,Malta,MT
SKS SHIPOWNING 7 LTD,6269060,Bermuda,BM
SKS SHIPOWNING 9 LTD,6269087,Bermuda,BM
AVANTI SHIPPING CO,5732430,Marshall Islands,MH
COMPASS SHIPPING 48 CORP LTD,6157270,Marshall Islands,MH
TRIBECA TRADING SA,5897858,Marshall Islands,MH
TRITON SUCCESS SA,5255142,Panama,PA
TONZIP MARITIME LTD,5818400,Liberia,LR
GLAFKOS SHIPPING CORP,4274025,Marshall Islands,MH
BAYTOWN MARITIME LLC,5939161,Marshall Islands,MH
FOUR JOLLY SPA,5483365,Italy,IT
PRIDE SHIPMANAGEMENT CORP,5853174,Marshall Islands,MH
SFYRA SHIPPING CO,6048997,Liberia,LR
SEA 267 LEASING CO LTD,6273291,Hong Kong,HK
WILTAMAX MARINE INC,5802174,Liberia,LR
BOYENT MARITIME INC,5882630,Liberia,LR
SUVRETTA TRANSPORTATION CORP,4141778,Liberia,LR
LATRIX SHIPPING INC,4112366,Liberia,LR
SILVER NO 31 SA,5900668,Marshall Islands,MH
SFL LION INC,6271101,Marshall Islands,MH
POLAR 9 LTD,6276398,Bermuda,BM
TARIF INC,5571472,Liberia,LR
HOTLEN SHIPPING INC,6078744,Liberia,LR
IONIC ALTHEA INC,6037021,Marshall Islands,MH
SEAWAY TANKERS PTE LTD,5931909,Singapore,SG
RIPTUN SHIPPING SA,5746703,Liberia,LR
KMARIN NO 17C SA,5898581,Marshall Islands,MH
KMARIN NO 17H SA,5898635,Marshall Islands,MH
NAVIGATOR LEO LLC,4178434,Marshall Islands,MH
FORWARD GLORIA NAV/DAIWA KISEN,6020194,Panama,PA
ODLEY WORLDWIDE INC,5378100,Virgin Islands,VI
FILOKTITIS CRUDE CARRIER SA,6129440,Marshall Islands,MH
ALINEA INTERNATIONAL SA,4193569,Panama,PA
ERGOLAS HOLDINGS INC,4193572,Panama,PA
UCC 4 LTD,6065862,United Kingdom,GB
COMPASS SHIPPING 74 CORP LTD,6149575,Hong Kong,HK
